NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,F7,F8,BOLSA,FECHA
20,2221,4,3,3,2,3,1,2,1,459000,01/05/2021
20,2220,2,5,3,5,1,4,5,5,408000,29/04/2021
20,2219,1,5,2,1,2,4,3,3,360000,27/04/2021
20,2218,4,2,3,2,2,5,5,1,307000,24/04/2021
20,2217,4,2,4,4,1,2,2,5,304000,22/04/2021
20,2216,5,5,5,1,4,5,2,2,303000,20/04/2021
20,2215,1,2,3,1,2,4,1,4,302000,17/04/2021
20,2214,5,2,1,3,3,3,5,5,301000,15/04/2021
20,2213,3,3,3,4,1,4,5,3,300000,13/04/2021
20,2212,3,5,4,3,2,3,4,3,300000,10/04/2021
20,2211,4,5,2,5,1,5,2,2,304000,08/04/2021
20,2210,5,3,2,4,1,4,5,5,303000,06/04/2021
20,2209,4,1,3,4,2,1,3,2,302000,03/04/2021
20,2208,3,5,1,3,4,3,5,1,301000,01/04/2021
20,2207,3,2,4,4,4,1,3,5,300000,30/03/2021
20,2206,4,2,5,1,2,3,1,4,300000,27/03/2021
20,2205,2,5,4,5,2,3,4,1,847000,25/03/2021
20,2204,3,5,5,1,1,2,5,5,773000,23/03/2021
20,2203,5,2,3,3,4,5,4,3,705000,20/03/2021
20,2202,3,5,4,2,1,4,3,5,637000,18/03/2021
20,2201,1,5,1,1,4,3,4,5,570000,16/03/2021
20,2200,3,3,1,5,5,4,4,2,509000,13/03/2021
20,2199,3,2,5,4,4,1,5,3,454000,11/03/2021
20,2198,3,5,5,2,5,3,1,2,405000,09/03/2021
20,2197,3,2,1,1,5,5,1,4,353000,06/03/2021
20,2196,5,5,4,5,4,1,1,3,305000,04/03/2021
20,2195,3,3,4,1,2,1,4,2,304000,02/03/2021
20,2194,2,1,4,1,3,4,2,2,303000,27/02/2021
20,2193,1,5,1,2,1,3,3,4,302000,25/02/2021
20,2192,5,2,5,5,2,2,2,5,301000,23/02/2021
20,2191,2,1,5,3,3,1,5,2,300000,20/02/2021
20,2190,4,4,1,3,5,2,5,4,303000,18/02/2021
20,2189,2,2,3,2,1,1,4,2,302000,16/02/2021
20,2188,2,4,3,1,2,5,5,1,301000,13/02/2021
20,2187,5,4,4,1,5,2,2,2,300000,11/02/2021
20,2186,3,5,5,4,2,4,5,3,300000,09/02/2021
20,2185,4,3,5,3,2,2,3,4,300000,06/02/2021
20,2184,4,2,4,5,1,3,4,1,301000,04/02/2021
